,Dietary Options Available,Items Offered,Food Program Category,Food Program Features,Languages Spoken,Location Features,Program Audience Groups,Program Audience,Program Service Category
0,Gluten Free - 100.0%,Dairy - 100.0%,Food Distribution - 100.0%,Curbside Pickup / Drive Through - 50.0%,Annang - 50.0%,Air Conditioning - 100.0%,Homebound - 50.0%,Everyone - 50.0%,Case Management Services - 50.0%
1,Ground or Pureed - 50.0%,Diapers - 50.0%,Hot/Cold Meal Program - 50.0%,Grocery / Client Choice - 50.0%,Arabic - 50.0%,Near Public Transportation - 100.0%,Households with Children / Youth - 50.0%,"Everyone, with a focus on these groups - 50.0%",Child Care Assistance - 50.0%
2,Halal - 50.0%,Eggs - 50.0%,Other - 50.0%,Home Delivery Service - 50.0%,Bosnian - 50.0%,Parking Available - 100.0%,Immigrants - 50.0%,Only these groups - 50.0%,Distribution of Non-Food Items - 50.0%
3,Kosher - 50.0%,Fruits & Vegetables - 50.0%,Pop-Up/Mobile Resource - 50.0%,Indoor Service - 50.0%,Braille - 50.0%,Restrooms Available - 100.0%,LGBTQ+ - 100.0%,No Filters Used - 50.0%,Domestic Violence Assistance - 50.0%
4,Other - 50.0%,Household Products - 50.0%,Shelter - 50.0%,Lifting / Carrying Assistance - 50.0%,"Chinese (Mandarin, Cantonese) - 50.0%",Safe Space - 100.0%,Older Adults / Seniors - 50.0%,,Drug & Alcohol Assistance - 50.0%
5,Vegan - 50.0%,Meat - 50.0%,,Online Ordering - 50.0%,English - 100.0%,Seating in Waiting Area - 100.0%,People Managing Chronic Health Conditions - 50.0%,,Educational Courses/Classes - 50.0%
6,Vegetarian - 50.0%,Other - 50.0%,,Other - 50.0%,French - 50.0%,Wheelchair Accessible - 100.0%,Persons with Disabilities - 50.0%,,Employment Services/Workforce Development - 50.0%
7,,Pet Food / Supplies - 50.0%,,Outdoor Seating - 50.0%,German - 50.0%,Wi-Fi Available - 100.0%,Teenagers / Young Adults - 100.0%,,Food Program - 50.0%
8,,Prepared Food / Grab and Go - 50.0%,,Outdoor Service - 50.0%,Greek - 50.0%,Near Public Transit - 0.0%,Unhoused - 50.0%,,Healthcare Screenings/Referrals - 50.0%
9,,Shelf-Stable / Non-Perishable Goods - 50.0%,,Pet Food/Supplies - 50.0%,Gujarati - 50.0%,,Veterans - 50.0%,,Housing Assistance - 50.0%
10,,Sit Down Meals - 50.0%,,Pre-Packed Boxes / Bags - 50.0%,Hebrew / Yiddish - 50.0%,,Children / Youth - 0.0%,,Legal Assistance - 50.0%
11,,Toiletries / Hygiene Products - 50.0%,,Reservations - 50.0%,Hindi - 50.0%,,Adults - 0.0%,,Mental Health Services - 50.0%
12,,Shelf Stable/Non-Perishable Goods - 0.0%,,Transportation Assistance - 50.0%,Italian - 50.0%,,People Affiliated With School - 0.0%,,Nutrition Education/Services - 50.0%
13,,,,Grocery/Client Choice - 0.0%,Korean - 50.0%,,,,Other - 50.0%
14,,,,Pre-Packed Boxes/Bags - 0.0%,Lithuanian - 50.0%,,,,Public Benefits Assistance - 50.0%
15,,,,Prepared Food - 0.0%,Mongolian - 50.0%,,,,Tax/Financial Support - 50.0%
16,,,,Dietary Menu Options - 0.0%,Other - 50.0%,,,,Transportation Assistance - 50.0%
22,,,,,Spanish - 100.0%,,,,
27,,,,,Yoruba - 50.0%,,,,
26,,,,,Vietnamese - 50.0%,,,,
25,,,,,Urdu - 50.0%,,,,
24,,,,,Ukranian - 50.0%,,,,
23,,,,,Tagalog - 50.0%,,,,
21,,,,,Sign Language (ASL) - 50.0%,,,,
20,,,,,Serbo-Croatian - 50.0%,,,,
19,,,,,Russian - 50.0%,,,,
18,,,,,Romanian - 50.0%,,,,
17,,,,,Polish - 50.0%,,,,Health and Wellness Services - 0.0%
28,,,,,"Portuguese (Portugal, Brazil) - 0.0%",,,,
29,,,,,Haitian Creole - 0.0%,,,,
30,,,,,Akan - 0.0%,,,,
31,,,,,Amharic - 0.0%,,,,
32,,,,,Cape Verdean Creole - 0.0%,,,,
